mitqut	(mitq)+ut
kangiqhijaa	kang+(iqhi)+jaa
havangtinnata	havang+(tinna)+ta
pukukkit	p+(uku)+kkit
ilaanilu	(ilaani)+lu
naunaqtuq	(nau)+naq+tuq
hivuniqhipkaqtaa	hivun+(iqhi)+pkaq+taa
kikiaktaa	(kikiak)+taa
titirakhaq	(titira)+khaq
angut	(ang)+ut
ikhiq	(ik)+hiq
iki	(iki)
ini	(i)+ni
pijumaffaaqtuq	(pijuma)+ffaaq+tuq
kangiqhijuq	kang+(iqhi)+juq
hiti	(hiti)
nirjut	(nirj)+ut
ihumajuq	(ihuma)+juq
tikinnanga	tikin+(na)+nga
hainngiguhuktuq	(hainngi)+gu+huk+tuq
qaptiruti	(qaptir)+uti
milvik	(mil)+vik
tuktu	(tuktu)
nuluq	(nul)+uq
tagjaaq	t+(agj)+aaq
iqalukpik	(iqaluk)+pik
avittaa	(avit)+taa
uvva	(uvva)
apittiuvik	(apittiu)+vik
higaaq	(higa)+aq
kikiaktuqtaa	(kikiak)+tuq+taa
qilaut	(qila)+ut
milukattak	(miluka)+ttak
angajukhiqun	(angajukhiq)+un
inukhuk	(inuk)+huk
kiguangirnaq	kigu+(angir)+naq
aglualiuqtuq	(aglua)+liuq+tuq
iqingajuq	(iq)+ingajuq
qiqittiivik	qi+(qittii)+vik
naimajuq	(naima)+juq
miniq	(mi)+niq
tarrijauti	(tarrija)+uti
inuilaq	(inuil)+aq
kikhuk	ki+(kh)+uk
kijjaktuq	(kijj)+ak+tuq
aluktuqtuq	(aluk)+tuq+tuq
ikkiti	(ikki)+ti
qaujuq	(qa)+ujuq
abluriq	(ablur)+iq
pijjarluktuq	(pijja)+rluk+tuq
angilraujuq	(angilrau)+juq
itqiq	(itq)+iq
uquutaq	(uqu)+ut+aq
pilihaarnirmi	(pilihaarnir)+mi
qanuritpin	(qanurit)+pin
ukpik	(ukpi)+k
aunaaqtuq	a+(una)+aq+tuq
aippirniq	a+(ippir)+niq
hiujjariktuq	(hiujja)+rik+tuq
arnaruhiq	(arnar)+uhiq
kivgaqtuqtuq	(kivgaq)+tuq+tuq
ikpakhaq	(ikpa)+khaq
publiun	publ+(i)+un
havilqhaq	havi+(lqh)+aq
iptiittuq	(ipti)+it+tuq
pujurvik	(pujur)+vik
qiqijuq	qi+(qi)+juq
uliktaa	(u)+lik+taa
tikitinnagik	(tikitinna)+gik
pilihaarnirmit	(pilihaarnir)+mit
piniqqak	(pini)+qqak
tikitinnatik	(tikitinna)+tik
aku	(aku)
kuvijaa	(kuvi)+jaa
annaktuq	(ann)+ak+tuq
nunguani	(nungu)+ani
ihumangnik	(ihuma)+ngnik
kakkiktuq	(ka)+kkik+tuq
uaqtuq	(u)+aq+tuq
immaqaak	(imma)+qaak
ulukhaqtuuq	ulu+(khaq)+tuuq
mikinnuarjuk	(mikinnua)+rj+uk
qamauktuqtuq	qa+(mauk)+tuq+tuq
aqiattuqtuq	a+(qiat)+tuq+tuq
ikuallautikhaq	(ikualla)+utikhaq
arnaqhiut	(arna)+qhi+ut
hiurjuk	hi+(urju)+k
ikhivautaq	(ikhiva)+ut+aq
nanguttijuq	(nangu)+ttijuq
akiani	(aki)+ani
tivjat	(tivja)+t
qinngarnaqtuq	qi+(nngar)+naq+tuq
ukiakhaq	(ukia)+khaq
uirniq	(uir)+niq
unipkaaqtuq	(unipka)+aq+tuq
amiakkut	(amia)+kkut
aullaqtinnagit	aullaq+(tinna)+git
ilutujuq	(ilutu)+juq
qamittuq	qa+(m)+it+tuq
ulurianaqtuq	(uluria)+naq+tuq
hivurallak	(hivura)+llak
ilulilik	(iluli)+lik
ajulaqtuq	a+(jul)+aq+tuq
minguliruqtuq	(minguli)+ruq+tuq
uligaaq	(uliga)+aq
quanaqqutit	(quanaqqu)+tit
uhiarut	(uhiar)+ut
aullaqtinnahi	aullaq+(tinna)+hi
humunngauvin	(hu)+munngau+vin
najak	(naja)+k
haki	(haki)
nungulaaq	(nungu)+laaq
kauttuarmiutarijaa	ka+(uttuarmiuta)+rijaa
takhiqtuq	ta+(kh)+iqtuq
uqaujaq	(uqauj)+aq
taimna	ta+(imna)
arnakhaq	(arna)+khaq
haumingmuuqtuq	(haumi)+ngmuuq+tuq
itiqtuq	(it)+iqtuq
mamarijaa	(mama)+rijaa
nipitairut	(nipitair)+ut
pilihaarniq	(pilihaar)+niq
uquittuq	(uqu)+it+tuq
nukaq	n+(uk)+aq
aullarnahi	a+(ullarna)+hi
igliaq	(igli)+aq
atan’ngujuq	a+(tan’nguj)+uq
qalaktuqtuq	(qalak)+tuq+tuq
kii	ki+(i)
hivulirijaa	hi+(vuli)+rijaa
ijaruvak	(ijaru)+vak
tallimiut	(talli)+miut
tumiruajuq	(tumirua)+juq
qipik	qi+(pi)+k
havangtinnagu	havang+(tinna)+gu
hukkinnaaq	hu+(kkin)+naaq
mikijuq	(miki)+juq
najuqtaa	(najuq)+taa
papiqqiqijuq	(papiqqiqi)+juq
qallutiqarvik	(qalluti)+qarvik
malruraaqtuq	(malru)+raaq+tuq
tuhaqtaa	(tuh)+aq+taa
uliun	(uli)+un
imiraq	(imir)+aq
uulijuq	(uuli)+juq
qalalaqijuq	(qala)+laqi+juq
qiku	qi+(ku)
aqhailitaq	(aqha)+ilitaq
qaphit	(qaphi)+t
akukittuq	a+(kuk)+it+tuq
halumailruq	(haluma)+ilruq
aiktaqtuq	a+(ik)+taqtuq
qulvik	qu+(lvi)+k
tiritquq	(tiritq)+uq
ihiqigaji	(ihiqiga)+ji
pata	(pata)
niqiliuqtuq	(niqi)+liuq+tuq
talittuq	(tal)+it+tuq
ittuq	(it)+tuq
ukujuq	(uku)+juq
aquun	(aqu)+un
pautik	(pau)+tik
punniq	p+(unn)+iq
imnaq	(imna)+q
iqaluqarvik	iqalu+(q)+arvik
hunngittuq	hu+(nng)+it+tuq
tunnuq	t+(unnu)+q
attiruaqtuq	a+(ttiru)+aq+tuq
ubluqtujuq	ubluq+(tu)+juq
nalujuq	(nalu)+juq
hinaaguuqtuq	(hinaa)+guuq+tuq
hiquriaqtaa	(hiquri)+aq+taa
taiguaqtaa	(taigu)+aq+taa
iqujuq	(iq)+ujuq
kautaujaq	ka+(utauj)+aq
aumait	(auma)+it
natirnaq	(natirn)+aq
iqqakuuqti	(iqqakuuq)+ti
im’ngun	(im’ng)+un
attiqtuijuq	(attiqtui)+juq
kihaqtuq	ki+(h)+aq+tuq
mitquq	(mitqu)+q
tiguaqtaa	(tigu)+aq+taa
ajaniqtujuq	(ajaniqt)+ujuq
anirniq	a+(nir)+niq
iquutikhauti	(iquutikha)+uti
tamuqtuq	(tamuq)+tuq
taliqpingni	(taliqpi)+ngni
qilaun	(qila)+un
minittailijaa	(minittaili)+jaa
taijuq	(t)+aijuq
kialaqijuq	(kia)+laqi+juq
aqaguani	(aqagu)+ani
qaniaq	(qani)+aq
hitamat	hi+(tama)+t
akhaluut	(akhalu)+ut
akikittuq	(aki)+kit+tuq
arvaaq	(arv)+aaq
aqiaruaqtuq	(aqiaru)+aq+tuq
ijjuaqtaa	(ijju)+aq+taa
aktikkutariik	(aktikkuta)+riik
imannaaqtuq	(imann)+aaq+tuq
ubluqhiuti	(ublu)+qhi+uti
ajuqtuq	a+(juq)+tuq
arja	(arja)
nakkaqtuq	(nakk)+aq+tuq
tupittuq	(tup)+it+tuq
havgun	(havg)+un
tuluriaq	(tulu)+riaq
inugiaktut	(inu)+giak+tut
ipikharniq	ipik+h+(ar)+niq
piannauhiq	(pianna)+uhiq
ainniq	a+(in)+niq
puvittuq	(puv)+it+tuq
qanilrukkut	qa+(nilru)+kkut
aullaqtuq	a+(ull)+aq+tuq
higaarluktuq	(higaa)+rluk+tuq
qaplu	(qaplu)
tiituqtuq	(tii)+tuq+tuq
aputaijaqtaa	(aputaij)+aq+taa
hanajuq	(hana)+juq
qaphinik	(qaphi)+nik
avatait	(avata)+it
hiuti	(hi)+uti
taimunga	ta+(imu)+nga
niurmiktuq	(niur)+mik+tuq
kinguani	(kingu)+ani
uqaallautijaa	(uqaallauti)+jaa
iniruajuq	(inirua)+juq
ahiruqtuq	(ahi)+ruq+tuq
navikhimajuq	navik+(hima)+juq
an’ngajuktuqtuq	a+(n’ngajuk)+tuq+tuq
anitaa	a+(ni)+taa
pigliqtaqtuq	(pigliq)+taqtuq
tukkaqtaa	(tukk)+aq+taa
aahanngiq	a+(ahanng)+iq
kakkiliqtaqtuq	ka+(kkiliqt)+aq+tuq
iqqanaiqtuq	(iqqana)+iqtuq
nipiliun	(nipili)+un
taitaiphaaqtuq	ta+(itaipha)+aq+tuq
algirnilaqijuq	(algirni)+laqi+juq
puiniq	(pui)+niq
aannuraangiqtuq	(aannuraang)+iqtuq
iluvirvik	(iluvir)+vik
havaqati	(hava)+qati
nuvihijuq	(nuvi)+hi+juq
paappak	p+(aappa)+k
qanurinngittuq	qa+(nuri)+nngit+tuq
akiraqatigiiktuk	(akira)+qatigi+iktuk
aluq	(alu)+q
qugjuk	(qugju)+k
ilihautijaa	(ilihauti)+jaa
tulaktuq	(tul)+ak+tuq
ulipkaaqtaa	(ulipka)+aq+taa
igluliqiji	iglu+(liqi)+ji
hinnariktuq	hi+(nna)+rik+tuq
nangutiqatigiiktuk	n+(anguti)+qatigi+iktuk
hulijakhaq	(hulija)+khaq
nalujaa	(nalu)+jaa
amauti	a+(ma)+uti
aluun	(alu)+un
nipikhaut	n+ipik+(ha)+ut
aqilluqqaq	a+(qilluq)+qaq
hangujuq	(hang)+ujuq
atuaqtaut	(atuaqta)+ut
uitapqaqtuq	(uitapq)+aq+tuq
atqaqtuq	(atq)+aq+tuq
qalaktuq	(qal)+ak+tuq
uqhurjualiqiji	(uqhurj)+ualiqiji
hurluk	(hu)+rluk
alguangajuq	(alguanga)+juq
havangnanuk	havang+(na)+nuk
nikhik	(nikhik)
qinmiq	qinmi+(q)
arjakuurvik	(arja)+kuurvik
aalliraq	a+(allir)+aq
aujuq	(a)+ujuq
piksasuuqtuq	p+(iksasuuq)+tuq
aqpattuq	(aqpa)+t+tuq
taktuktuq	(takt)+uk+tuq
avgun	(avg)+un
hangutitaqtuq	(hanguti)+taqtuq
kiguti	(kig)+uti
ihivjuktuq	(ihivj)+uk+tuq
nanuqtuq	(nanuq)+tuq
kangiqhuk	kang+(iq)+huk
ihivriuqhijuq	(ihivriuq)+hi+juq
hiujjarluktuq	(hiujja)+rluk+tuq
palvitujuq	(palvit)+ujuq
pualu	(pualu)
akhaktuq	a+(kh)+ak+tuq
anguuti	(angu)+uti
aptunikittuq	a+(ptuni)+kit+tuq
mitiinnaq	(miti)+innaq
quaqtaq	(qu)+aq+taq
havvarluktuq	(havva)+rluk+tuq
hikuaqtuq	(hiku)+aq+tuq
hivvuqtaa	hi+(vvuq)+taa
ilvit	(il)+vit
pimattiarniq	(pimattiar)+niq
tikinnanuk	tikin+(na)+nuk
aukhittiaqhimajuq	a+(ukhittiaqhima)+juq
nipiliut	(nipili)+ut
qilaujjaqtuq	(qilaujjaq)+tuq
ajaraaqtuq	a+(jara)+aq+tuq
inirnikhaq	(inirni)+khaq
illuktuq	(il)+luk+tuq
ingilraat	ingil+(ra)+at
kiguhiqijuq	kigu+(hiqi)+juq
talurjuaq	(talu)+rj+uaq
ihuuriktuq	(ihuu)+rik+tuq
aujijuq	(auji)+juq
humunngauliqqit	(hu)+munngau+liq+qit
qugluktuq	(qug)+luk+tuq
aalliak	a+(alli)+ak
avalliq	a+(va)+lliq
kaapi	ka+(api)
anaq	(a)+naq
qangiakhaq	qa+(ngia)+khaq
ivjujuq	(ivju)+juq
qilgiriaqtuq	(qilgi)+riaqtuq
uqautijaa	(uqauti)+jaa
aittiijuq	a+(ittii)+juq
ihumaalugijaa	(ihumaalu)+gijaa
higaarluk	(higaa)+rluk
makpiraq	(makpir)+aq
aktuqtaa	(ak)+tuq+taa
ihivriuqtuq	(ihivriuq)+tuq
tuuq	(tu)+uq
qanga	(qanga)
aputtaaq	(apu)+ttaaq
kikturiilitaq	ki+(kturi)+ilitaq
paipaut	(paipa)+ut
alianaqtuq	(alia)+naq+tuq
ikitaa	(iki)+taa
upluriaq	(uplu)+riaq
tunulliq	(tunu)+lliq
aqhaliaq	(aqhalia)+q
pujuq	(pu)+juq
taktuk	(takt)+uk
apijuq	(api)+juq
arvinilitaippaa	(arvini)+litaippaa
qilalugaaq	(qilalug)+aaq
mitiq	(miti)+q
hatqummiqtaa	(hatqummiq)+taa
tunuhitaq	(tunu)+hi+taq
nanijaa	(nani)+jaa
ilipiruq	(ilipi)+ruq
uqpiliurniq	(uqpiliur)+niq
majuraun	(majura)+un
malruk	(malru)+k
hii	hi+(i)
aquuti	(aqu)+uti
iqqakuurut	(iqqakuur)+ut
haumik	(haumi)+k
ukkuiqtuq	(ukku)+iqtuq
avguqtaa	(avg)+uq+taa
maliktaa	(ma)+lik+taa
ungullaun	(ungulla)+un
aaquaq	a+(aqu)+aq
hikun’ngiqtuq	hiku+(n’ng)+iqtuq
quanaqqutik	(quanaqqu)+tik
aturvik	(atur)+vik
takkuuk	(takku)+uk
humiutauvin	(humiutauv)+in
mittaqtuqtuq	(mittaq)+tuq+tuq
aukhiriaq	(aukhi)+riaq
atauttikkuuqtut	(atautti)+kkuuq+tut
iqquq	(iqq)+uq
mikinnuaq	(mikinnua)+q
maktaq	(makt)+aq
nujarluktuq	(nuja)+rluk+tuq
qanmaqtuq	qa+(nm)+aq+tuq
aquihimajuq	(aquihima)+juq
tuik	(tui)+k
imiqtaqtuq	(imiqt)+aq+tuq
havakti	havak+(ti)
katuut	ka+(tu)+ut
atqut	(atqu)+t
ihumakittuq	(ihuma)+kit+tuq
ailaqtuq	a+(il)+aq+tuq
uipkuaq	(uipku)+aq
imannaq	(imann)+aq
anaqtautiliqiji	(anaqta)+utiliqiji
mingulilaqijuq	(minguli)+laqi+juq
numiktiriji	numik+(tiri)+ji
nutaraq	(nutara)+q
auttuq	(aut)+tuq
ilaanittauq	(ilaani)+ttauq
ilingnik	(ili)+ngnik
tupiq	(tup)+iq
huna	(huna)
angmaniq	(angma)+niq
ingniqutilik	(ingniq)+uti+lik
kalliqtuq	(kall)+iqtuq
kigiaq	(ki)+gi+aq
kataktaa	ka+(tak)+taa
ungullauti	(ungulla)+uti
ahijjijuq	a+(hijji)+juq
qanaktaq	qa+(nak)+taq
imaiqtittuq	(imaiqt)+it+tuq
hilarluktuq	(hila)+rluk+tuq
imiqtaut	(imiqta)+ut
niuvirvik	(niuvir)+vik
ulik	(u)+lik
kuvjaqtuqtuq	(kuvjaq)+tuq+tuq
ihuma	(ihuma)
publaktuq	publ+(ak)+tuq
utiqtuq	(ut)+iqtuq
nujaittuq	(nuja)+it+tuq
putu	(putu)
atqunaqtuq	(atqu)+naq+tuq
ihuaqtuq	(ihu)+aq+tuq
polarbearcub	(polarbearcub)
qinngaqtuq	qi+(nng)+aq+tuq
akhaluun	(akhalu)+un
angujaktut	(angujak)+tut
tamaphi	(tamap)+hi
haqpik	(haq)+pik
piiqtaa	(pi)+iq+taa
pijariiqtaa	(pijari)+iq+taa
tuugaaq	(tuug)+aaq
anuqhaaqtuq	(anuqh)+aaq+tuq
katuuti	ka+(tu)+uti
alliaqtuqtuq	a+(lliaq)+tuq+tuq
pamiqhihuktuq	(pamiqhi)+huk+tuq
taki	ta+(ki)
agjautik	(agjau)+tik
avaalaqiaq	(avaalaqi)+aq
aanniaqtuq	a+(anni)+aq+tuq
qanuritpit	(qanurit)+pit
tariuliaqtuq	tariu+(li)+aq+tuq
pikuk	(pik)+uk
uummati	(uumma)+ti
hivuani	(hivu)+ani
kangiqhihurnaqtuq	kang+(iqhihur)+naq+tuq
ajjiqijuq	(ajjiqi)+juq
haulluut	(haullu)+ut
hiurjuut	hi+(urju)+ut
nigiq	(nig)+iq
ulapqiujaq	(ulapqiuj)+aq
amiraijaqtaa	(amiraij)+aq+taa
mirraq	(mirra)+q
nipin’ngajuq	(nipin’nga)+juq
nutaqqak	(nuta)+qqak
titiraakhaun	(titiraakha)+un
ikpan	(i)+kpan
qihik	qi+(hi)+k
mamaqtuq	(mamaq)+tuq
ippakhaq	(ippakha)+q
iijaa	(ii)+jaa
aunaaruiqtuq	a+(unaaru)+iqtuq
umiaqpak	(umiaq)+pak
attak	(atta)+k
qaqqulaaqtaa	(qaqqula)+aq+taa
iqaluktinnagu	iqaluk+(tinna)+gu
tunmirarijaa	(tunmira)+rijaa
atauttimuktait	(atauttimukta)+it
pirittaaqtuq	(piri)+ttaaq+tuq
atirluaqtuq	(atirlu)+aq+tuq
niaqurliuqtuq	(niaqur)+liuq+tuq
igunaq	(igu)+naq
imiraqtuun	(imiraqtu)+un
takuttailijuq	taku+(ttaili)+juq
akurut	(akur)+ut
kaapiliut	ka+(apili)+ut
ajagutaaq	(ajaguta)+aq
ipikhaijuq	ipik+h+(ai)+juq
hiqiniq	hiq+(i)+niq
auvvivik	(auvvi)+vik
uniaqtuq	(uni)+aq+tuq
hiku	(hiku)
nani	(nani)
agiaq	(a)+gi+aq
unnukpan	(unnu)+kpan
qilauti	(qila)+uti
tingmiakkuuqtuq	(tingmia)+kkuuq+tuq
niviuvak	(niviuva)+k
paamnguqtuq	paa+(mn)+guq+tuq
kivanmut	(kivanm)+ut
mamittuq	m+(ami)+t+tuq
angaajjuvik	a+(ngaajju)+vik
taitai	(taitai)
nipittaaqtuq	(nipi)+ttaaq+tuq
angiqpak	ang+(iq)+pak
atiqtuq	(at)+iqtuq
ikajuqtuq	(ikajuq)+tuq
unnuktuq	(unnuk)+tuq
amiraq	(amir)+aq
tigluuti	(tiglu)+uti
agliruq	a+(gli)+ruq
ukkuhik	(ukkuhi)+k
apqutiniktaa	apquti+(nik)+taa
qamnguinnaqtuq	qa+(mnguinn)+aq+tuq
apluriq	(aplur)+iq
manik	(ma)+nik
ihumagijauttiarniq	(ihumagijauttiar)+niq
niuviqtaa	(niuv)+iq+taa
tahittaaqtuq	(tahi)+ttaaq+tuq
uuktaun	(uukta)+un
ingnirvik	(ingnir)+vik
immiqtaa	(imm)+iq+taa
akulliquti	a+(kulliq)+uti
ilauti	(ila)+uti
igajuq	(iga)+juq
hananngaut	(hanannga)+ut
havangtinnagik	havang+(tinna)+gik
aarlungajuq	a+(arlunga)+juq
hiulliuqtuq	(hiul)+liuq+tuq
humiutauvit	(humiutauv)+it
humunngauliqqin	(hu)+munngau+li+qqin
qiniqtaa	qi+(n)+iq+taa
hatqummiqtuq	(hatqummiq)+tuq
taaqhijuq	(taaq)+hi+juq
akhaluuti	(akhalu)+uti
tikitinnagu	(tikitinna)+gu
angajugiik	(angaju)+giik
hiitquaq	(hiitqu)+aq
akiraq	(akiraq)
aumajuq	(auma)+juq
hituaqtuutit	hi+(tuaqtu)+ut+it
kipkaqtaa	(ki)+pkaq+taa
