kivjautik	ki+(vja)+uti+k
tupiqtuqtuq	tu+p+(iqt)+u+qtuq
hiqqaqtuq	hi+(qqa)+qtuq
illaijut	il+lai+j+(u)+t
qulliujaq	qu+l+(li)+uja+q
malikhautikhangit	mal+i+(kha)+utikh+a+ngit
ikualajuq	iku+al+a+(ju)+q
tititrarvikhaq	(titit)+r+ar+vikhaq
kiguhiqquti	ki+guhi+(qq)+uti
hiurjuun	hiurju+(u)+n
qaamiutaq	qa+a+(mi)+ut+aq
iqiahuujuq	(iqiahu)+u+juq
uquittuq	(uqu)+ittuq
pautik	pa+(u)+tik
apquhaaqtaa	ap+qu+(ha)+a+qtaa
taktakhat	ta+(ktakha)+t
uuktuuti	uuk+tu+(uti)
attiruaqtuq	att+ir+(u)+a+qtuq
havaktauyakhamut	hav+akt+(auyakham)+ut
tamainut	t+ama+(i)+nut
ilauvakhimayurlu	i+la+(u)+v+akhima+yurlu
aukhiqtuqtuq	auk+(hiqt)+u+qtuq
panikhaq	pa+(ni)+khaq
ikuttiaqtuq	iku+(tti)+a+qtuq
ihivjuraq	(ihivju)+raq
uplaami	u+pl+(a)+a+mi
pivagainnik	pi+(vaga)+in+nik
tautuktuq	ta+(utu)+kt+uq
titiqat	titiq+(a)+t
nanminikhadjutikharnik	na+nmin+(ikha)+dj+utikh+ar+nik
anguhalluq	ang+u+(hall)+uq
tuniuqhailutiklu	tu+ni+(uqhai)+lutik+lu
tukhiqtuq	t+uk+(hi)+qtuq
maniqaqtitauyunik	ma+ni+(qaqtita)+uyu+nik
putu	pu+(tu)
unaguittuq	u+na+(gu)+ittuq
kunit	(kuni)+t
kanangnaq	ka+na+(ngna)+q
atanilluaq	a+t+an+(illu)+aq
iliharvik	ili+ha+(rvi)+k
piyakhamingnut	pi+(yakha)+mi+ng+nut
angivittuq	angi+(vi)+tt+uq
pamiqhaaq	pa+mi+(qha)+aq
amigaittuni	amig+a+(ittu)+ni
tigluktaa	ti+(glu)+kt+a+a
ihivriurhinirnik	ihivr+i+(urhi)+nir+nik
qangamit	qa+(nga)+mit
aqhalialaqijuq	aq+ha+(li)+alaqi+juq
nuviqhaaq	n+uvi+(qha)+aq
qiliqtaa	qi+(li)+qtaa
allaliqtuq	a+ll+(ali)+qtuq
nunaptingnilu	nuna+(pting)+nilu
wantsmore	(wantsmore)
nunakkuurutik	nuna+(kkuur)+uti+k
pukuktuq	pu+(ku)+kt+uq
havakvia	hav+ak+(via)
qitirmiut	qi+(ti)+rmiut
iluviqtaa	ilu+v+(i)+qtaa
akhuuqtuq	ak+hu+(u)+qtuq
ikpan	ikp+(a)+n
itiqtuq	i+(ti)+qtuq
tunihilutik	tu+ni+(hi)+lutik
avguumattiarniq	av+guu+(mattiar)+niq
paniqhiivik	pa+n+iqhi+(i)+vi+k
qiiq	qi+(i)+q
upalungaikhimalutin	up+a+lu+ng+(aikhi)+ma+lutin
alikhaq	a+(li)+khaq
naunairutiqaqtukhaq	naun+ai+(rutiq)+aqtu+khaq
anaanattiaq	a+na+a+na+(tti)+aq
makitaa	ma+ki+ta+(a)
inungmit	inu+(ngmi)+t
patuqun	pa+(tuq)+un
ikayuutingit	ik+ayu+(ut)+i+ngit
ilitturipkaitjutikhanik	ili+t+turip+ka+(itj)+utikh+a+nik
niaqua	ni+a+qu+(a)
talafuutiqaqtutin	t+al+(afuu)+tiqaq+tut+in
angmaniq	a+(ngma)+niq
pikuk	pi+(ku)+k
palriaqtaa	pa+(lri)+a+qtaa
pihugaaqpakhutik	pi+hu+(gaaqpakh)+uti+k
laisiliqigaangata	lais+(iliqigaangata)
hain’riguhuktuq	hain+’ri+(guhu)+kt+uq
nakuuhivalliavikhaatigut	nakuu+hi+vall+iav+(ikha)+at+igut
ilauyut	i+(la)+uyut
igluqpakhanun	igluqpa+(kha)+n+un
hivayajjavat	hivay+a+(jja)+v+at
iqqakuuqti	iqqaku+u+(q)+ti
akuliariktuq	(akuliari)+kt+uq
tivjat	t+ivj+(a)+t
apqutikhaa	apq+ut+(ikha)+a
nakuuhivalliavikhaanutlu	nakuu+hi+vall+iav+(ikha)+anut+lu
akhaluun	a+(khalu)+un
aviktaa	a+(vi)+kt+a+a
immittuq	im+(mi)+tt+uq
qaplunaavjak	qa+pl+u+(naavjak)
tunganaqtumik	tu+(ngan)+aqtu+mik
hakuiqtuq	haku+(i)+qtuq
hitamauyunik	(hitama)+uyu+nik
naimajuq	na+(i)+majuq
natirluit	natir+(lu)+it
qigliktuq	qi+(gli)+kt+uq
pitjutikhangit	pi+(tj)+utikh+a+ngit
kaapiliut	ka+ap+(ili)+ut
qiniqhiayuliqiyut	qin+iqhi+a+(yu)+liq+iyut
tuhaajuq	tu+ha+(a)+j+uq
kapuqhirvikhat	ka+puq+hirv+(ikha)+t
piissak	pi+(issa)+k
haujaa	ha+(u)+jaa
ilihainirmun	ili+ha+(i)+ni+rmun
anniruhuktuq	anniru+(hu)+kt+uq
tunihimaanginaqtun	tu+ni+(himaangin)+aqtun
kammak	ka+(mma)+k
anmun	(an)+m+un
hulivin	huli+(vi)+n
laisikhanik	lais+(ikha)+nik
panik	(pa)+nik
ihuigiyauyut	i+hu+(igiyau)+yut
king loon	ki+(ng loo)+n
initujuq	ini+(tu)+j+uq
aullarnatik	a+ulla+(rna)+tik
pivallianikkut	pi+vall+i+(a)+nik+kut
qalvik	qa+(lvi)+k
katimadjutigiplugin	kat+ima+(djuti)+gi+plu+gin
tuqhualiqiji	tuq+hu+(a)+liq+iji
ukiungnaik	ukiung+(na)+ik
qimirutit	qi+(mir)+uti+t
ituk	i+(t)+uk
mitqun	mitqu+(n)
imiqtatikkut	(imiqta)+tik+kut
niguaqtauvakhimayuq	ni+g+(uaqtau)+v+akhima+yuq
uqaudjaupluni	uq+au+(dja)+up+lu+ni
hamlatkuni	ham+l+at+(kuni)
aulapkainirni	aula+pka+(i)+nir+ni
apquhiniq	ap+qu+(hi)+niq
ilvittauq	i+(lv)+it+ta+uq
ppaamnguliaq	ppa+(amnguli)+aq
qipiktaa	qi+(pi)+kt+a+a
nuvalqhiq	n+uv+al+(qhi)+q
pitquhiq	pit+q+uhi+(q)
taaksinut	ta+ak+si+(n)+ut
aqagumunngaqqqan	aqagum+unng+aq+q+(qa)+n
kukiijaun	ku+ki+(ija)+un
puvvinniqaliruvit	puvvi+(nni)+qa+liru+vit
uluak	u+lu+(a)+k
kutnut	(k)+ut+nut
havvarluktuq	hav+var+(lu)+kt+uq
havakpaktut	hav+a+(kpak)+tut
algak	alg+(a)+k
niritinnagit	niri+(tinna)+git
alugvik	a+(lu)+gv+ik
akikhilarutikhainut	aki+kh+il+(ar)+utikh+ai+nut
iqaluit	iq+a+lu+(i)+t
ilihautiniq	ili+ha+(uti)+niq
tahirmut	ta+(hir)+mut
tikinnata	t+iki+(nna)+ta
nakuujuq	na+(kuu)+j+uq
pitjutikhainnik	pi+(tj)+utikh+a+in+nik
kakivak	ka+k+(ivak)
uqajuittuq	uqa+(ju)+ittuq
niqinik	ni+(q)+i+nik
aqhalingialaqijuq	aq+halin+(gi)+alaqi+juq
haputi	ha+p+(uti)
imani	i+(m)+ani
ikayuqtauyumayumut	ik+ayu+(qtauyu)+ma+yu+mut
ahiqquq	a+hi+(qq)+uq
havakviani	hav+ak+(vi)+ani
kanguujaq	ka+(ngu)+uja+q
qalaktuqtuq	qa+l+(aktu)+qtuq
ikuhik	iku+(hi)+k
taloyoak	t+al+(oyoa)+k
arnaqhiun	arna+(qhi)+un
atanguyaupluni	at+a+(nguya)+up+lu+ni
imiqtautikkut	(imiqta)+ut+ikkut
titiqanut	titiq+(a)+nut
avikturniani	av+ikt+u+(rni)+ani
havagviqaqhutiklu	hav+a+gv+(iqaq)+hu+tik+lu
aavaqtuq	a+(av)+a+qtuq
tunihivaklhutik	tu+ni+(hivakl)+hu+tik
tunivaktuq	tu+ni+(va)+kt+uq
iluvruaq	ilu+v+(ru)+aq
ikayuqtaugiaqaqtuq	ik+ayu+qtau+(giaq)+a+qtuq
nipitqaqtauti	ni+pit+(qaqta)+uti
hanimut	ha+(ni)+mut
ukpirijaa	ukp+(i)+rijaa
nakuuyumik	nakuu+(yu)+mik
angujaktut	ang+u+(ja)+kt+ut
aqagumunngaqpat	aqagum+unng+aq+pa+(t)
itqanaijaqtuq	itq+a+n+(aija)+qtuq
iluittuq	ilu+(i)+tt+uq
kavamaliqinirmut	ka+(vama)+liq+inir+mut
mahuk	ma+(hu)+k
ilingnik	i+(li)+ng+nik
niuvailiqiyut	ni+uv+(ai)+liq+iyut
hakiak	ha+(kia)+k
niuviqtaa	ni+uv+(i)+qtaa
kijjaktuq	ki+(jja)+kt+uq
arvinilithitamaat	arvin+ilit+(hitama)+at
haffumunga	ha+(ffumu)+ng+a
ikayuqhutiklu	ik+ayu+(q)+hu+tik+lu
nirjut	ni+r+(ju)+t
qivjaq	qi+(vja)+q
titirarhimayut	titir+a+(r)+hima+yut
tuhutujuq	(tuhutu)+j+uq
utiqtuq	(uti)+qtuq
uaqhijuq	(uaqhi)+j+uq
arnarvik	a+(rna)+rvik
ikittut	ik+it+t+(ut)
ilaani	i+(la)+ani
tuluriaq	tu+(lu)+riaq
kipijuq	ki+(p)+i+j+uq
tahittuq	ta+h+(i)+tt+uq
maniyauyut	ma+(ni)+y+auyut
qitiraq	qi+(tir)+aq
tamnalu	ta+(mnalu)
ikayuriamikni	ik+ayu+(ria)+mik+ni
niriliqhutik	niri+(liq)+hu+tik
qqaajuqtuq	qq+aa+(ju)+qtuq
naluqhitkuvinluuniit	na+lu+(qhi)+tkuv+in+lu+u+ni+it
hamlatkunutlu	ham+l+at+(ku)+nut+lu
munaqhitkut	mu+na+(qhi)+tkut
uhiqtiqtuq	u+(hiqt)+i+qtuq
nujarluktuq	nu+(jarlu)+kt+uq
tarrijaun	(tarrija)+un
qimugjuk	qi+m+(ugju)+k
pidjutikhanik	(pi)+djut+ikha+nik
uvattiagu	uv+attia+(gu)
aannuraat	a+an+n+(ura)+at
naunaittaghainut	na+una+it+(tagha)+in+ut
iqaluktuuttiaq	iqa+luk+(tuutti)+aq
niuvrutikhalinikkut	niuvr+(utikhal)+inikk+ut
patuk	p+at+(uk)
tipaittuq	tip+(a)+ittuq
qaqqulaaqtaa	qa+q+qu+(laa)+qtaa
pangaliktuq	pa+ng+(ali)+kt+uq
huunngittuq	(huu)+nng+ittuq
aupajangajuq	au+pa+j+ang+(a)+j+uq
tamuqtuq	ta+(mu)+qtuq
kakillarnaq	ka+k+(illa)+rnaq
huliyutin	huli+(yu)+tin
pivikhaqaqtut	pivikh+a+(q)+aqtu+t
atuquyauyuq	at+u+(quya)+u+yuq
hittuqittuq	hit+(tuq)+ittuq
apirillaglagin	ap+(irillagl)+ag+in
atauttikkun	a+ta+utti+(kku)+n
takhiqtuq	t+ak+(hi)+qtuq
uliktuq	u+(li)+kt+uq
ilihimalugit	ili+(hima)+lu+git
algauti	alg+(a)+uti
nuutaanguqtiqhimayuq	nu+uta+ang+(uqtiq)+hima+yuq
uhuk	(uhu)+k
piliurnikkut	pi+(liur)+nik+kut
qaffinik ukiuqaqqin	qa+(ffi)+nik+ u+kiuqaq+qin
uminga	(umi)+ng+a
taaqtuq	ta+(a)+qtuq
quglugiaq	qu+glu+(giaq)
taunani	ta+(un)+ani
uliun	u+(li)+un
unaguhungniq	u+na+(guhu)+ng+niq
kingiktutuanguvut	kingik+tu+(tuanguv)+ut
inuqaqtuq	inu+(q)+a+qtuq
unipkaaq	un+(ipka)+aq
aallanguqtirivaktugut	aall+ang+uq+tir+(ivak)+tugu+t
uaqtakhat	u+(aqta)+khat
quaq	qu+(a)+q
uuktuut	uuk+tu+(u)+t
pilugit	(pi)+lu+git
orcs	(orcs)
piyaaami	pi+(yaa)+a+mi
ikaulaaqtuliqijit	ik+a+(ula)+aqtu+liq+iji+t
hikuut	hi+(ku)+ut
laisikhakkut	lais+(ikha)+kkut
aanniarvik	a+an+n+(i)+arvik
kangiqliniq	ka+ngi+(qliniq)
katittut	ka+(ti)+t+tut
nautkutigami	na+utku+(t)+igami
nunalllaanut	nuna+(lllaan)+ut
ilitagiyaangat	ilit+(agi)+yaang+at
iqalgagiaq	iq+al+(ga)+gi+aq
paniqhijjiqturvik	pa+n+iqhi+(jjiqtu)+rvik
taiguqtaa	ta+(igu)+qtaa
tuuqtuq	(tu)+u+qtuq
ukuaglu	u+ku+(a)+g+lu
igluqpainni	igluqpa+(in)+ni
ihuaqhigiagutitlu	i+hu+(aqhi)+giag+uti+t+lu
qikiqtarjuaq	qi+kiqta+(rju)+aq
niruarvia	ni+r+(ua)+rvi+a
hanaqidjutikhanginik	ha+n+aq+idjut+(ikha)+ngi+nik
laisikhamik	lais+(ikha)+mik
pihimaniq	pi+(hima)+niq
puvvivjagluni	puvvi+(vja)+g+lu+ni
imaruqtivia	ima+(ruqti)+via
attirniq	a+(tti)+r+niq
havangtinnanga	hav+ang+(tinna)+ng+a
uik	u+(i)+k
alvat	a+(lv)+at
niujjijuq	ni+(ujj)+i+j+uq
naunaiyaidjutikhaq	naun+a+iya+(idj)+utikh+aq
nciac	(nciac)
qagaaqtuq	qa+g+(a)+a+qtuq
tukkaliqtuq	t+uk+(ka)+li+qtuq
uqhurjuaptaut	uqhurjua+(pta)+ut
ilauqaqhimayut	il+au+(qaq)+hima+yut
hapununnga	ha+p+(unu)+nnga
qujajuittuq	quja+(ju)+ittuq
uvani	uva+(ni)
katitiqvikhangit	k+at+iti+(qvikha)+ngit
aittuun	a+(ittu)+un
hivuaq	hiv+(u)+aq
igjuk	i+(gju)+k
haqiktauti	ha+(qikta)+uti
iptiiqtuq	ip+(ti)+i+qtuq
kavamaliqiyut	ka+(vama)+liq+iyut
havikhaq	hav+(ikha)+q
aulaagianganik	aula+a+(gianga)+nik
ayuirhaqtillugillu	ayu+i+(rhaqtil)+lu+gi+llu
qilalugaaq	qi+la+(lu)+ga+aq
inukpagjuaq	inu+kp+(agju)+aq
manikkami	ma+ni+(kk)+a+mi
aupajaavjaktuq	aupajaa+(vja)+kt+uq
alaviitanik	al+a+(viit)+a+nik
uqhurjuaqarvik	uqhurjua+(qa)+rvik
nukakhaq	nu+(ka)+khaq
ipualik	ip+(ua)+lik
qaffinikukiuqaqqin	qa+(ffiniku)+kiuqaq+qin
tiggak	tig+(ga)+k
inirnikhaq	ini+(rni)+khaq
uqaudjiukharnik	uq+au+(djiu)+khar+nik
uqhurjuaq	uqhurjua+(q)
quanaqqutit	quana+qq+(utit)
upaktaa	up+(a)+kt+a+a
hivullirpaarmi	hivul+li+(rpa)+armi
qanaktaq	qan+(ak)+taq
ihuarijamingnik	i+hu+(arijami)+ng+nik
anijuq	a+ni+(ju)+q
iqittirinirmik	iq+it+(tir)+inir+mik
nunagiyauyut	nuna+(gi)+y+auyut
tikitinnahi	t+iki+(tinna)+hi
upalunggaiyaunikkut	u+pa+(lunggaiyau)+nik+kut
kattuaq	ka+(ttu)+aq
aqqaluaq	a+(qqalua)+q
arnaqati	arna+(qa)+ti
ipiraq	ip+(ir)+aq
havaktiuyukharnik	hav+akt+(iu)+yu+khar+nik
pingattiut	pinga+(tti)+ut
ilihaijjutigijaghamingni	ili+ha+(ijjutigijaghami)+ngni
pata	p+at+(a)
iqilgagiag	iq+(ilga)+giag
takhinanuaqtat	ta+(khi)+n+anu+aq+t+at
taaksiyautinut	ta+ak+si+(ya)+uti+nut
ayungnaqtunik	ayu+ngna+(qtu)+nik
ilauqaqtuq	i+la+(uq)+a+qtuq
kavamauyut	ka+(vama)+uyut
mitquit	mitqu+(i)+t
pidjutikharnik	(pi)+dj+utikh+ar+nik
takkuani	ta+(kku)+ani
havakviingit	hav+ak+(vi)+i+ngit
ivjarut	ivj+ar+(u)+t
qilauti	qi+la+(uti)
qamnguqtuq	qamngu+(qtu)+q
tamaini	t+ama+(i)+ni
angut	a+(ngut)
qanait	qan+(a)+it
tamuutijaa	ta+(mu)+utijaa
atuqtauhimayunik	at+u+(qtau)+hima+yu+nik
atuganik	at+u+(ga)+nik
upin’ngakhaq	upin’nga+(khaq)
haqpingajuq	haq+(pi)+nga+juq
hitaakik	hita+aki+(k)
tikittuq	(ti)+k+ittuq
tunuhiq	tu+n+(uhiq)
aulaaguvin	aula+(a)+guvin
aullaqtinnata	a+ull+aq+(tinna)+ta
ingilrutingnik	i+ngi+(lr)+ut+ingn+ik
aulanirmun	a+u+(la)+ni+rmun
amigaqhuutiqaqtunik	amig+aq+hu+(ut)+iq+aqtu+nik
takukhaujutuan	taku+(k)+haujutuan
tamaat	t+ama+(a)+t
titirauyaqnikkut	tit+irauya+(q)+nik+kut
aijuq	(a)+i+j+uq
aqaguttauq	aq+a+(guttauq)
atuaqtauti	at+u+(aqta)+uti
kivgaqtuidjutikhaniklu	kivgaq+tu+(idj)+utikh+a+nik+lu
illaijun	il+lai+j+(un)
havangtinnatik	hav+ang+(tinna)+tik
hiuraq	hi+(ura)+q
ilannaq	i+la+(nna)+q
qajjat	qa+(jja)+t
nalunaqtuq	na+lu+(na)+qtuq
hiitquaq	hi+itqu+(a)+q
sikiituuqtuq	si+ki+(ituu)+qtuq
laisikhaita	lais+(ikha)+ita
amigakhuutiliqiyunik	amig+ak+hu+(ut)+iliq+iy+u+nik
ahiaqtaqtuq	a+hi+(aqta)+qtuq
ayuikhautikhaniklu	ayu+(ikha)+utikh+a+nik+lu
ilihaijuq	ili+ha+(i)+j+uq
inuaqtamingnik	inu+(aqta)+mi+ng+nik
havagviingit	hav+a+gv+(i)+i+ngit
kuummiujaaqtuq	k+uumm+i+(u)+jaa+qtuq
qaijuq	q+(a)+i+j+uq
hinnariktuq	hi+(nnari)+kt+uq
tuphiuqtuq	tu+p+(hi)+u+qtuq
kina atqin	ki+(na )+a+t+qin
iqaluktuuttiamilu	iqa+luk+(tuutti)+a+mi+lu
aannuraaqtuq	a+an+n+(ura)+a+qtuq
titirauyaqningini	tit+irauya+(q)+ni+ngi+ni
ilihimajara	ilihi+(majara)
hivu	hiv+(u)
pihukhimmaaqtuk	pi+hu+(khimmaa)+qtuk
aippirniq	a+ipp+(i)+r+niq
anguniaqtiit	a+ng+un+i+(aqti)+it
manniliuqtuq	man+ni+(li)+u+qtuq
itimak	i+(tima)+k
ilitarijaa	ilit+(a)+rijaa
havaqaqpakhimayuq	hav+a+(q)+aq+p+akhima+yuq
ayuikhautikhainik	ayu+(ikha)+utikh+a+i+nik
pamiuqtuuq	pa+mi+(uqtu)+uq
ikayuutikhangit	ik+ayu+(utikha)+ngit
arnannait	arna+(nna)+it
hurluk	hu+(rlu)+k
qattarjuaq	(qattarju)+aq
ajaraaq	a+(jara)+aq
qaptirut	qap+(tir)+ut
munariyait	mu+na+(riya)+it
hanajahimajut	ha+na+(ja)+hima+jut
nanuq	na+(n)+uq
piksaliuti	pi+(ksaliu)+ti
nunavutip	nuna+(v)+utip
kuhiqtuq	ku+(hi)+qtuq
qanuriliurutikhanik	qa+nur+(iliur)+utikh+a+nik
aittaqtuq	a+(itta)+qtuq
quahijaaqtuq	qu+(ahi)+jaa+qtuq
tupagiaqtuq	tu+p+(agi)+a+qtuq
naniriaqturvik	na+niri+(aqtu)+rvik
haniraq	h+an+(i)+raq
hungaq	hu+(ng)+aq
arvak	(arva)+k
nipitqaqtaut	ni+pit+(qaqta)+ut
kinautjutikkut	ki+na+u+(tj)+ut+ikkut
uitapqaqtuq	u+it+apq+(a)+qtuq
aannirnalaqiniq	a+an+n+(irnalaq)+in+iq
ajjikiiktuk	a+(jjik)+i+iktuk
